Date,Comparison_Type
20120101,3756
20120102,2085
20120103,9706
20120104,0
20120105,4554
20120106,3841
20120107,659
20120108,8804
20120109,485
20120110,6925
20120111,9653
20120112,3124
20120113,4361
20120114,8305
20120115,5010
20120116,6209
20120117,9661
20120118,6782
20120119,6954
20120120,4185
20120121,2190
20120122,146
20120123,4701
20120124,2043
20120125,5791
20120126,3175
20120127,9413
20120128,6264
20120129,7899
20120130,8266
20120131,577
20120201,183
20120202,8988
20120203,443
20120204,9317
20120205,3832
20120206,6376
20120207,6174
20120208,0
20120209,2743
20120210,2760
20120211,9367
20120212,3221
20120213,4092
20120214,217
20120215,2759
20120216,5897
20120217,9579
20120218,7935
20120219,178
20120220,7450
20120221,4219
20120222,2881
20120223,1296
20120224,5231
20120225,7944
20120226,1203
20120227,2149
20120228,960
20120229,1817
20120301,3743
20120302,8497
20120303,6
20120304,2812
20120305,4476
20120306,4855
20120307,8945
20120308,2486
20120309,1572
20120310,3979
20120311,7994
20120312,2809
20120313,3027
20120314,5189
20120315,4616
20120316,3918
20120317,2418
20120318,7013
20120319,2426
20120320,9800
20120321,5335
20120322,5273
20120323,8809
20120324,1625
20120325,6839
20120326,7391
20120327,3689
20120328,5204
20120329,7010
20120330,1420
20120331,4806
20120401,38
20120402,2
20120403,21
20120404,11
20120405,31
20120406,26
20120407,23
20120408,888
20120409,27
20120410,32
20120411,5
20120412,47
20120413,46
20120414,47
20120415,2
20120416,3
20120417,18
20120418,932
20120419,717
20120420,160
20120421,538
20120422,13
20120423,50
20120424,470
20120425,439
20120426,224
20120427,853
20120428,656
20120429,509
20120430,478
20120501,3880
20120502,21
20120503,211
20120504,113
20120505,310
20120506,264
20120507,234
20120508,3
20120509,275
20120510,329
20120511,54
20120512,479
20120513,461
20120514,477
20120515,25
20120516,38
20120517,180
20120518,9302
20120519,7197
20120520,1650
20120521,5348
20120522,134
20120523,504
20120524,4700
20120525,4349
20120526,2224
20120527,8543
20120528,6506
20120529,5009
20120530,4728
20120531,4715
20120601,3756
20120602,2085
20120603,9706
20120604,0
20120605,4554
20120606,3841
20120607,659
20120608,8804
20120609,485
20120610,6925
20120611,9653
20120612,3124
20120613,4361
20120614,8305
20120615,5010
20120616,6209
20120617,9661
20120618,6782
20120619,6954
20120620,4185
20120621,2190
20120622,146
20120623,4701
20120624,2043
20120625,5791
20120626,3175
20120627,9413
20120628,6264
20120629,7899
20120630,8266
20160601,3756
20160602,2085
20160603,9706
20160604,0
20160605,4554
20160606,3841
20160607,659
20160608,8804
20160609,485
20160610,6925
20160611,9653
20160612,3124
20160613,4361
20160614,8305
20160615,5010
20160616,6209
20160617,9661
20160618,6782
20160619,6954
20160620,4185
20160621,2190
20160622,146
20160623,4701
20160624,2043
20160625,5791
20160626,3175
20160627,9413
20160628,6264
20160629,7899
20160630,8266
20120701,9932
20120702,5855
20120703,6731
20120704,585
20120705,3250
20120706,9982
20120707,5568
20120708,4645
20120709,5596
20120710,6143
20120711,6691
20120712,4193
20120713,9106
20120714,6478
20120716,3636
20120717,0
20120718,7875
20120719,3584
20120720,8992
20120721,9195
20120722,518
20120723,9070
20120724,6333
20120725,5171
20120726,3649
20120727,8458
20120728,5303
20120729,54
20120730,4632
20120731,4962
20120801,7544
20120802,212
20120803,8703
20120804,1404
20120805,6372
20120806,8941
20120807,1896
20120808,8617
20120809,8788
20120810,4897
20120811,1170
20120813,7676
20120814,8188
20120815,2821
20120816,2007
20120817,4763
20120818,9553
20120819,2333
20120820,7490
20120821,8250
20120822,8116
20120823,8806
20120824,4198
20120825,650
20120826,2423
20120827,8015
20120828,5220
20120829,1913
20120830,4240
20120831,1099
20120901,9571
20120902,3148
20120903,5451
20120904,8008
20120905,4301
20120906,6299
20120907,5574
20120908,5908
20120909,346
20120910,1207
20120911,5301
20120912,2440
20120913,4110
20120914,4515
20120915,5830
20120916,9231
20120917,2109
20120918,4574
20120919,5363
20120920,8434
20120921,3103
20120922,8942
20120923,2213
20120924,6811
20120925,0
20120926,3801
20120927,6888
20120928,536
20120929,3204
20120930,8898
20121001,332
20121002,3795
20121003,1936
20121004,83
20121005,9850
20121006,2152
20121007,4353
20121008,4650
20121009,9010
20121010,3998
20121011,4543
20121012,4065
20121013,3249
20121014,5843
20121015,7970
20121016,5609
20121017,4206
20121018,4157
20121019,9961
20121020,5191
20121021,7005
20121022,7345
20121023,4904
20121024,4850
20121025,0
20121026,8155
20121027,3905
20121028,2525
20121029,2860
20121030,5848
20121031,5655
20121101,202
20121102,6101
20121103,4730
20121104,838
20121105,7590
20121106,5497
20121107,1900
20121108,997
20121109,2335
20121110,3273
20121112,6061
20121113,4044
20121114,8919
20121115,3649
20121116,5702
20121117,4389
20121118,8486
20121119,0
20121120,6068
20121121,4434
20121122,9619
