"rank","name","country","countrycode","time","timeBehind","performance","year","sport","gender","event","allbutfirst005percentfaster_time","allbutfirst005percentfaster_performance","allbutfirst005percentfaster_rank","allbutmedalists005percentfaster_time","allbutmedalists005percentfaster_performance","allbutmedalists005percentfaster_rank","allbutfirst01percentfaster_time","allbutfirst01percentfaster_performance","allbutfirst01percentfaster_rank","allbutmedalists01percentfaster_time","allbutmedalists01percentfaster_performance","allbutmedalists01percentfaster_rank","allbutfirst02percentfaster_time","allbutfirst02percentfaster_performance","allbutfirst02percentfaster_rank","allbutmedalists02percentfaster_time","allbutmedalists02percentfaster_performance","allbutmedalists02percentfaster_rank","allbutfirst05percentfaster_time","allbutfirst05percentfaster_performance","allbutfirst05percentfaster_rank","allbutmedalists05percentfaster_time","allbutmedalists05percentfaster_performance","allbutmedalists05percentfaster_rank","allbutfirst1percentfaster_time","allbutfirst1percentfaster_performance","allbutfirst1percentfaster_rank","allbutmedalists1percentfaster_time","allbutmedalists1percentfaster_performance","allbutmedalists1percentfaster_rank","genderEvent","position"
1,"Marcel HIRSCHER","Austria","AUT",126.52,0,100,2018,"Alpine","men","Combined",126.52,100,1,126.52,100,1,126.52,100,1,126.52,100,1,126.52,100,2,126.52,100,1,126.52,100,2,126.52,100,1,126.52,100,3,126.52,100,1,"men Combined",1
2,"Alexis PINTURAULT","France","FRA",126.75,0.230000000000004,99.8185404339251,2018,"Alpine","men","Combined",126.686656671664,99.868449704142,2,126.75,99.8185404339251,2,126.623376623377,99.918358974359,2,126.75,99.8185404339251,2,126.497005988024,100.018177514793,1,126.75,99.8185404339251,2,126.119402985075,100.317633136095,1,126.75,99.8185404339251,2,125.495049504951,100.816725838264,1,126.75,99.8185404339251,4,"men Combined",2
3,"Victor MUFFAT-JEANDET","France","FRA",127.54,1.02000000000001,99.2002509016779,2018,"Alpine","men","Combined",127.476261869065,99.2498510271287,3,127.54,99.2002509016779,3,127.412587412587,99.2994511525796,3,127.54,99.2002509016779,3,127.285429141717,99.3986514034813,3,127.54,99.2002509016779,3,126.905472636816,99.6962521561863,3,127.54,99.2002509016779,6,126.277227722772,100.192253410695,2,127.54,99.2002509016779,7,"men Combined",3
4,"Marco SCHWARZ","Austria","AUT",127.87,1.35000000000001,98.9442402439978,2018,"Alpine","men","Combined",127.806096951524,98.9937123641198,4,127.806096951524,98.9937123641198,4,127.742257742258,99.0431844842418,4,127.742257742258,99.0431844842418,4,127.614770459082,99.1421287244858,4,127.614770459082,99.1421287244858,4,127.233830845771,99.4389614452178,4,127.233830845771,99.4389614452178,3,126.60396039604,99.9336826464378,4,126.60396039604,99.9336826464378,2,"men Combined",4
5,"Ted LIGETY","United States","USA",127.97,1.45,98.8669219348285,2018,"Alpine","men","Combined",127.906046976512,98.9163553957959,5,127.906046976512,98.9163553957959,5,127.842157842158,98.9657888567633,5,127.842157842158,98.9657888567633,5,127.714570858283,99.0646557786981,5,127.714570858283,99.0646557786981,5,127.333333333333,99.3612565445026,5,127.333333333333,99.3612565445026,4,126.70297029703,99.8555911541768,5,126.70297029703,99.8555911541768,3,"men Combined",5
6,"Thomas MERMILLOD BLONDIN","France","FRA",128.02,1.50000000000001,98.828308076863,2018,"Alpine","men","Combined",127.956021989006,98.8777222309014,6,127.956021989006,98.8777222309014,6,127.892107892108,98.9271363849398,6,127.892107892108,98.9271363849398,6,127.764471057884,99.0259646930167,6,127.764471057884,99.0259646930167,6,127.383084577114,99.3224496172473,6,127.383084577114,99.3224496172473,5,126.752475247525,99.8165911576316,6,126.752475247525,99.8165911576316,5,"men Combined",6
7,"Kjetil JANSRUD","Norway","NOR",128.67,2.14999999999999,98.3290588326727,2018,"Alpine","men","Combined",128.605697151424,98.3782233620891,7,128.605697151424,98.3782233620891,7,128.541458541459,98.4273878915054,7,128.541458541459,98.4273878915054,7,128.413173652695,98.5257169503381,7,128.413173652695,98.5257169503381,7,128.029850746269,98.8207041268361,7,128.029850746269,98.8207041268361,7,127.39603960396,99.3123494209995,7,127.39603960396,99.3123494209995,6,"men Combined",7
8,"Stefan HADALIN","Slovenia","SLO",128.94,2.42,98.1231580580115,2018,"Alpine","men","Combined",128.875562218891,98.1722196370405,8,128.875562218891,98.1722196370405,8,128.811188811189,98.2212812160695,8,128.811188811189,98.2212812160695,8,128.682634730539,98.3194043741275,8,128.682634730539,98.3194043741275,8,128.298507462687,98.6137738483015,8,128.298507462687,98.6137738483015,8,127.663366336634,99.1043896385916,8,127.663366336634,99.1043896385916,8,"men Combined",8
1,"Aksel Lund SVINDAL","Norway","NOR",100.25,0,100,2018,"Alpine","men","Downhill",100.25,100,1,100.25,100,1,100.25,100,1,100.25,100,1,100.25,100,3,100.25,100,1,100.25,100,3,100.25,100,1,100.25,100,7,100.25,100,5,"men Downhill",1
2,"Kjetil JANSRUD","Norway","NOR",100.37,0.120000000000005,99.880442363256,2018,"Alpine","men","Downhill",100.31984007996,99.9303825844376,2,100.37,99.880442363256,2,100.26973026973,99.9803228056192,2,100.37,99.880442363256,2,100.169660678643,100.080203247982,1,100.37,99.880442363256,2,99.8706467661692,100.379844575072,1,100.37,99.880442363256,3,99.3762376237624,100.879246786889,1,100.37,99.880442363256,6,"men Downhill",2
