"year","gender","distance","stroke","rank","name","country","countrycode","time","timeBehind","genderDistance"
"2003","men"," 50","back"," 1","Thomas RUPPRATH","Germany","GER","24.80","0.00","men 50"
"2003","men"," 50","back"," 2","Matthew WELSH","Australia","AUS","25.01","0.21","men 50"
"2003","men"," 50","back"," 3","Johannes Gerhardus ZANDBERG","South Africa","RSA","25.07","0.27","men 50"
"2003","men"," 50","back"," 4","Steffen DRIESEN","Germany","GER","25.14","0.34","men 50"
"2003","men"," 50","back"," 5","Randall BAL","United States","USA","25.19","0.39","men 50"
"2003","men"," 50","back"," 6","Darius GRIGALIONIS","Lithuania","LTU","25.53","0.73","men 50"
"2003","men"," 50","back"," 7","Joshua WATSON","Australia","AUS","25.62","0.82","men 50"
"2003","men"," 50","back"," 8","Aaron PEIRSOL","United States","USA","25.75","0.95","men 50"
"2003","men"," 50","breast"," 1","James GIBSON","Great Britain","GBR","27.56","0.00","men 50"
"2003","men"," 50","breast"," 2","Oleg LISOGOR","Ukraine","UKR","27.74","0.18","men 50"
"2003","men"," 50","breast"," 3","Mihaly FLASKAY","Hungary","HUN","27.79","0.23","men 50"
"2003","men"," 50","breast"," 4","Mark WARNECKE","Germany","GER","27.87","0.31","men 50"
"2003","men"," 50","breast"," 5","Darren MEW","Great Britain","GBR","27.92","0.36","men 50"
"2003","men"," 50","breast"," 6","Alessandro TERRIN","Italy","ITA","27.98","0.42","men 50"
"2003","men"," 50","breast"," 7","Emil TAHIROVIC","Slovenia","SLO","28.17","0.61","men 50"
"2003","men"," 50","breast","NA","Mladen TEPAVCEVIC","Yugoslavia","YUG","NA","NA","men 50"
"2003","men"," 50","fly"," 1","Matthew WELSH","Australia","AUS","23.43","0.00","men 50"
"2003","men"," 50","fly"," 2","Ian CROCKER","United States","USA","23.62","0.19","men 50"
"2003","men"," 50","fly"," 3","Evgueni KOROTYCHKINE","Russia","RUS","23.73","0.30","men 50"
"2003","men"," 50","fly"," 4","Geoffrey HUEGILL","Australia","AUS","23.76","0.33","men 50"
"2003","men"," 50","fly"," 5","Roland SCHOEMAN","South Africa","RSA","23.79","0.36","men 50"
"2003","men"," 50","fly"," 6","Thomas RUPPRATH","Germany","GER","23.83","0.40","men 50"
"2003","men"," 50","fly"," 7","Mark FOSTER","Great Britain","GBR","23.86","0.43","men 50"
"2003","men"," 50","fly"," 8","Fernando SCHERER","Brazil","BRA","23.96","0.53","men 50"
"2003","men"," 50","free"," 1","Alexander POPOV","Russia","RUS","21.92","0.00","men 50"
"2003","men"," 50","free"," 2","Mark FOSTER","Great Britain","GBR","22.20","0.28","men 50"
"2003","men"," 50","free"," 3","Pieter VAN DEN HOOGENBAND","Netherlands","NED","22.29","0.37","men 50"
"2003","men"," 50","free"," 4","Johan KENKHUIS","Netherlands","NED","22.30","0.38","men 50"
"2003","men"," 50","free"," 5","Julien SICOT","France","FRA","22.38","0.46","men 50"
"2003","men"," 50","free"," 6","Olersandr VOLYNETS","Ukraine","UKR","22.40","0.48","men 50"
"2003","men"," 50","free"," 7","Brett HAWKE","Australia","AUS","22.41","0.49","men 50"
"2003","men"," 50","free"," 8","Jason LEZAK","United States","USA","22.44","0.52","men 50"
"2003","men","100","back"," 1","Aaron PEIRSOL","United States","USA","53.61","0.00","men 100"
"2003","men","100","back"," 2","Arkady VYATCHANIN","Russia","RUS","53.92","0.31","men 100"
"2003","men","100","back"," 2","Matthew WELSH","Australia","AUS","53.92","0.31","men 100"
"2003","men","100","back"," 4","Steffen DRIESEN","Germany","GER","54.17","0.56","men 100"
"2003","men","100","back"," 5","Markus ROGAN","Austria","AUT","54.53","0.92","men 100"
"2003","men","100","back"," 6","Tomomi MORITA","Japan","JPN","54.86","1.25","men 100"
"2003","men","100","back"," 7","Laszlo CSEH","Hungary","HUN","54.95","1.34","men 100"
"2003","men","100","back"," 8","Keng Liat Alex LIM","Malaysia","MAS","55.18","1.57","men 100"
"2003","men","100","breast"," 1","Kosuke KITAJIMA","Japan","JPN","59.78","0.00","men 100"
"2003","men","100","breast"," 2","Brendan HANSEN","United States","USA","60.21","0.43","men 100"
"2003","men","100","breast"," 3","James GIBSON","Great Britain","GBR","60.37","0.59","men 100"
"2003","men","100","breast"," 4","Ed MOSES","United States","USA","60.87","1.09","men 100"
"2003","men","100","breast"," 5","Morgan KNABE","Canada","CAN","61.07","1.29","men 100"
"2003","men","100","breast"," 6","Domenico FIORAVANTI","Italy","ITA","61.23","1.45","men 100"
"2003","men","100","breast"," 7","Darren MEW","Great Britain","GBR","61.36","1.58","men 100"
"2003","men","100","breast"," 8","Hugues DUBOSCQ","France","FRA","61.48","1.70","men 100"
"2003","men","100","fly"," 1","Ian CROCKER","United States","USA","50.98","0.00","men 100"
"2003","men","100","fly"," 2","Michael PHELPS","United States","USA","51.10","0.12","men 100"
"2003","men","100","fly"," 3","Andrii SERDINOV","Ukraine","UKR","51.59","0.61","men 100"
"2003","men","100","fly"," 4","Igor MARCHENKO","Russia","RUS","51.95","0.97","men 100"
"2003","men","100","fly"," 5","Thomas RUPPRATH","Germany","GER","51.98","1.00","men 100"
"2003","men","100","fly"," 6","Takashi YAMAMOTO","Japan","JPN","52.27","1.29","men 100"
"2003","men","100","fly"," 7","Franck ESPOSITO","France","FRA","52.68","1.70","men 100"
"2003","men","100","fly"," 8","Evgueni KOROTYCHKINE","Russia","RUS","53.00","2.02","men 100"
"2003","men","100","free"," 1","Alexander POPOV","Russia","RUS","48.42","0.00","men 100"
"2003","men","100","free"," 2","Pieter VAN DEN HOOGENBAND","Netherlands","NED","48.68","0.26","men 100"
"2003","men","100","free"," 3","Ian THORPE","Australia","AUS","48.77","0.35","men 100"
"2003","men","100","free"," 4","Jason LEZAK","United States","USA","48.94","0.52","men 100"
"2003","men","100","free"," 5","Andrei KAPRALOV","Russia","RUS","48.95","0.53","men 100"
"2003","men","100","free"," 6","Frederick BOUSQUET","France","FRA","49.30","0.88","men 100"
"2003","men","100","free"," 7","Ryk NEETHLING","South Africa","RSA","49.51","1.09","men 100"
"2003","men","100","free"," 8","Milorad CAVIC","Yugoslavia","YUG","49.65","1.23","men 100"
"2003","women"," 50","back"," 1","Nina ZHIVANEVSKAYA","Spain","ESP","28.48","0.00","women 50"
"2003","women"," 50","back"," 2","Ilona HLAVACKOVA","Czech Republic","CZE","28.50","0.02","women 50"
"2003","women"," 50","back"," 3","Noriko INADA","Japan","JPN","28.62","0.14","women 50"
"2003","women"," 50","back"," 4","Jennifer CARROLL","Canada","CAN","28.65","0.17","women 50"
"2003","women"," 50","back"," 5","Sandra VÖLKER","Germany","GER","28.69","0.21","women 50"
"2003","women"," 50","back"," 6","Louise ØRNSTEDT","Denmark","DEN","28.93","0.45","women 50"
"2003","women"," 50","back"," 7","Laure MANAUDOU","France","FRA","28.98","0.50","women 50"
"2003","women"," 50","back"," 8","Haley COPE","United States","USA","28.99","0.51","women 50"
"2003","women"," 50","breast"," 1","Xuejuan LUO","China","CHN","30.67","0.00","women 50"
"2003","women"," 50","breast"," 2","Brooke HANSON","Australia","AUS","31.13","0.46","women 50"
"2003","women"," 50","breast"," 3","Zoe BAKER","Great Britain","GBR","31.37","0.70","women 50"
"2003","women"," 50","breast"," 4","Leisel JONES","Australia","AUS","31.50","0.83","women 50"
"2003","women"," 50","breast"," 5","Tara KIRK","United States","USA","31.87","1.20","women 50"
"2003","women"," 50","breast"," 6","Kristy KOWAL","United States","USA","31.96","1.29","women 50"
"2003","women"," 50","breast"," 7","Sara POEWE","Germany","GER","32.03","1.36","women 50"
"2003","women"," 50","breast"," 8","Elena BOGOMAZOVA","Russia","RUS","32.27","1.60","women 50"
"2003","women"," 50","fly"," 1","Inge DE BRUIJN","Netherlands","NED","25.84","0.00","women 50"
"2003","women"," 50","fly"," 2","Jenny THOMPSON","United States","USA","26.00","0.16","women 50"
"2003","women"," 50","fly"," 3","Anna-Karin KAMMERLING","Sweden","SWE","26.06","0.22","women 50"
"2003","women"," 50","fly"," 4","Yafei ZHOU","China","CHN","26.85","1.01","women 50"
"2003","women"," 50","fly"," 5","Chantal GROOT","Netherlands","NED","26.92","1.08","women 50"
"2003","women"," 50","fly"," 6","Vered BOROCHOVSKY","Israel","ISR","26.98","1.14","women 50"
"2003","women"," 50","fly"," 7","Nataliya KHUDYAKOVA","Ukraine","UKR","27.10","1.26","women 50"
"2003","women"," 50","fly"," 8","Angela SAN JUAN","Spain","ESP","27.24","1.40","women 50"
"2003","women"," 50","free"," 1","Inge DE BRUIJN","Netherlands","NED","24.47","0.00","women 50"
"2003","women"," 50","free"," 2","Alice MILLS","Australia","AUS","25.07","0.60","women 50"
"2003","women"," 50","free"," 3","Lisbeth LENTON","Australia","AUS","25.08","0.61","women 50"
"2003","women"," 50","free"," 4","Jenny THOMPSON","United States","USA","25.10","0.63","women 50"
"2003","women"," 50","free"," 5","Sandra VÖLKER","Germany","GER","25.14","0.67","women 50"
"2003","women"," 50","free"," 6","Martina MORAVCOVA","Slovakia","SVK","25.17","0.70","women 50"
"2003","women"," 50","free"," 7","Marleen VELDHUIS","Netherlands","NED","25.49","1.02","women 50"
"2003","women"," 50","free"," 8","Sviatlana KHAKHLOVA","Belarus","BLR","25.53","1.06","women 50"
"2003","women","100","back"," 1","Antje BUSCHSCHULTE","Germany","GER","60.50","0.00","women 100"
"2003","women","100","back"," 2","Louise ØRNSTEDT","Denmark","DEN","60.86","0.36","women 100"
"2003","women","100","back"," 2","Katy SEXTON","Great Britain","GBR","60.86","0.36","women 100"
"2003","women","100","back"," 4","Nina ZHIVANEVSKAYA","Spain","ESP","61.18","0.68","women 100"
"2003","women","100","back"," 5","Stanislava KOMAROVA","Russia","RUS","61.36","0.86","women 100"
"2003","women","100","back"," 6","Iryna AMSHENNIKOVA","Ukraine","UKR","61.43","0.93","women 100"
"2003","women","100","back"," 7","Mai NAKAMURA","Japan","JPN","61.51","1.01","women 100"
"2003","women","100","back"," 8","Sarah PRICE","Great Britain","GBR","61.63","1.13","women 100"
"2003","women","100","breast"," 1","Xuejuan LUO","China","CHN","66.80","0.00","women 100"
"2003","women","100","breast"," 2","Amanda BEARD","United States","USA","67.42","0.62","women 100"
"2003","women","100","breast"," 3","Leisel JONES","Australia","AUS","67.47","0.67","women 100"
"2003","women","100","breast"," 4","Sara POEWE","Germany","GER","68.06","1.26","women 100"
"2003","women","100","breast"," 5","Tara KIRK","United States","USA","68.30","1.50","women 100"
"2003","women","100","breast"," 6","Brooke HANSON","Australia","AUS","68.55","1.75","women 100"
"2003","women","100","breast"," 7","Mirna JUKIC","Austria","AUT","68.76","1.96","women 100"
"2003","women","100","breast"," 8","Rhiannon LEIER","Canada","CAN","69.39","2.59","women 100"
"2003","women","100","fly"," 1","Jenny THOMPSON","United States","USA","57.96","0.00","women 100"
"2003","women","100","fly"," 2","Otylia JEDRZEJCZAK","Poland","POL","58.22","0.26","women 100"
"2003","women","100","fly"," 3","Martina MORAVCOVA","Slovakia","SVK","58.24","0.28","women 100"
"2003","women","100","fly"," 4","Alena POPCHANKA","Belarus","BLR","58.90","0.94","women 100"
"2003","women","100","fly"," 5","Yafei ZHOU","China","CHN","59.08","1.12","women 100"
"2003","women","100","fly"," 6","Anna-Karin KAMMERLING","Sweden","SWE","59.14","1.18","women 100"
"2003","women","100","fly"," 7","Yuko NAKANISHI","Japan","JPN","59.32","1.36","women 100"
"2003","women","100","fly"," 8","Natalie COUGHLIN","United States","USA","59.63","1.67","women 100"
"2003","women","100","free"," 1","Hanna-Maria SEPPÄLÄ","Finland","FIN","54.37","0.00","women 100"
"2003","women","100","free"," 2","Jodie HENRY","Australia","AUS","54.58","0.21","women 100"
"2003","women","100","free"," 3","Jenny THOMPSON","United States","USA","54.65","0.28","women 100"
"2003","women","100","free"," 4","Alena POPCHANKA","Belarus","BLR","54.79","0.42","women 100"
"2003","women","100","free"," 5","Lisbeth LENTON","Australia","AUS","54.82","0.45","women 100"
"2003","women","100","free"," 6","Martina MORAVCOVA","Slovakia","SVK","54.86","0.49","women 100"
"2003","women","100","free"," 7","Antje BUSCHSCHULTE","Germany","GER","54.91","0.54","women 100"
"2003","women","100","free"," 8","Marleen VELDHUIS","Netherlands","NED","55.17","0.80","women 100"
"2005","men"," 50","back"," 1","Aristeidis GRIGORIADIS","Greece","GRE","24.95","0.00","men 50"
"2005","men"," 50","back"," 2","Matt WELSH","Australia","AUS","24.99","0.04","men 50"
"2005","men"," 50","back"," 3","Liam TANCOCK","Great Britain","GBR","25.02","0.07","men 50"
"2005","men"," 50","back"," 4","Randall BAL","United States","USA","25.23","0.28","men 50"
"2005","men"," 50","back"," 5","Aaron PEIRSOL","United States","USA","25.30","0.35","men 50"
"2005","men"," 50","back"," 6","Thomas RUPPRATH","Germany","GER","25.38","0.43","men 50"
"2005","men"," 50","back"," 7","Junichi MIYASHITA","Japan","JPN","25.85","0.90","men 50"
"2005","men"," 50","back"," 8","Marco DI CARLI","Germany","GER","26.48","1.53","men 50"
"2005","men"," 50","breast"," 1","Mark WARNECKE","Germany","GER","27.63","0.00","men 50"
"2005","men"," 50","breast"," 2","Mark GANGLOFF","United States","USA","27.71","0.08","men 50"
"2005","men"," 50","breast"," 3","Kosuke KITAJIMA","Japan","JPN","27.78","0.15","men 50"
"2005","men"," 50","breast"," 4","Hugues DUBOSCQ","France","FRA","27.87","0.24","men 50"
"2005","men"," 50","breast"," 5","Chris COOK","Great Britain","GBR","28.00","0.37","men 50"
"2005","men"," 50","breast"," 6","Valeriy DYMO","Ukraine","UKR","28.03","0.40","men 50"
"2005","men"," 50","breast"," 6","Emil TAHIROVIC","Slovenia","SLO","28.03","0.40","men 50"
"2005","men"," 50","breast"," 8","Brenton RICKARD","Australia","AUS","28.27","0.64","men 50"
"2005","men"," 50","fly"," 1","Roland SCHOEMAN","South Africa","RSA","22.96","0.00","men 50"
"2005","men"," 50","fly"," 2","Ian CROCKER","United States","USA","23.12","0.16","men 50"
"2005","men"," 50","fly"," 3","Sergiy BREUS","Ukraine","UKR","23.38","0.42","men 50"
"2005","men"," 50","fly"," 4","Ryk NEETHLING","South Africa","RSA","23.48","0.52","men 50"
"2005","men"," 50","fly"," 5","SCHERER SCHERE","Brazil","BRA","23.74","0.78","men 50"
"2005","men"," 50","fly"," 6","Evgeny KOROTYSHKIN","Russia","RUS","23.84","0.88","men 50"
"2005","men"," 50","fly"," 7","Duje DRAGANJA","Croatia","CRO","23.96","1.00","men 50"
"2005","men"," 50","fly"," 8","Mike MINTENKO","Canada","CAN","23.99","1.03","men 50"
"2005","men"," 50","free"," 1","Roland SCHOEMAN","South Africa","RSA","21.69","0.00","men 50"
"2005","men"," 50","free"," 2","Duje DRAGANJA","Croatia","CRO","21.89","0.20","men 50"
"2005","men"," 50","free"," 3","Bartosz KIZIEROWSKI","Poland","POL","21.94","0.25","men 50"
"2005","men"," 50","free"," 4","Salim ILES","Algeria","ALG","22.15","0.46","men 50"
"2005","men"," 50","free"," 5","Andrey KAPRALOV","Russia","RUS","22.16","0.47","men 50"
"2005","men"," 50","free"," 6","Nicholas BRUNELLI","United States","USA","22.25","0.56","men 50"
"2005","men"," 50","free"," 7","Frederick BOUSQUET","France","FRA","22.44","0.75","men 50"
"2005","men"," 50","free"," 8","Eduard LORENTE","Spain","ESP","22.46","0.77","men 50"
"2005","men","100","back"," 1","Aaron PEIRSOL","United States","USA","53.62","0.00","men 100"
"2005","men","100","back"," 2","Randall BAL","United States","USA","54.02","0.40","men 100"
"2005","men","100","back"," 3","Laszlo CSEH","Hungary","HUN","54.27","0.65","men 100"
"2005","men","100","back"," 4","Tomomi MORITA","Japan","JPN","54.31","0.69","men 100"
"2005","men","100","back"," 5","Arkady VYATCHANIN","Russia","RUS","54.50","0.88","men 100"
"2005","men","100","back"," 6","Aristeidis GRIGORIADIS","Greece","GRE","54.61","0.99","men 100"
"2005","men","100","back"," 7","Markus ROGAN","Austria","AUT","54.81","1.19","men 100"
"2005","men","100","back"," 8","Blaz MEDVESEK","Slovenia","SLO","55.13","1.51","men 100"
"2005","men","100","breast"," 1","Brendan HANSEN","United States","USA","59.37","0.00","men 100"
"2005","men","100","breast"," 2","Kosuke KITAJIMA","Japan","JPN","59.53","0.16","men 100"
"2005","men","100","breast"," 3","Hugues DUBOSCQ","France","FRA","60.20","0.83","men 100"
