brand,product,category,character,type,time,duration,location,visibility,hasLogo,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:00:50,0:00:03,Garage workshop,close-up,yes,Robert Downey Jr.,male,43,white,,,,,0:10:50
LG,tv,device,-,sighting,0:00:56,0:00:11,Garage workshop,background,no,-,-,-,-,,,,,0:10:56
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:01:08,0:00:02,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:08
Dell,monitor,device,tony Stark - Iron Man,sighting,0:01:08,0:00:02,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:08
LG,tv,device,-,sighting,0:01:11,0:00:08,Garage workshop,background,no,-,-,-,-,,,,,0:11:11
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:01:19,0:00:03,Garage workshop,obvious,no,Robert Downey Jr.,male,43,white,,,,,0:11:19
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:01:19,0:00:03,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:19
LG,tv,device,-,sighting,0:01:23,0:00:02,Garage workshop,background,no,-,-,-,-,,,,,0:11:23
Ford,Car,vehicle,tony Stark - Iron Man,sighting,0:01:43,0:00:05,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:43
Audi,Car,vehicle,tony Stark - Iron Man,sighting,0:01:43,0:00:06,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:43
Eames,chair,home,tony Stark - Iron Man,sighting,0:01:43,0:00:06,Garage workshop,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:11:43
Dell,monitor,device,tony Stark - Iron Man,sighting,0:01:43,0:00:07,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:43
Dell,monitor,device,tony Stark - Iron Man,sighting,0:01:50,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:50
Dell,monitor,device,tony Stark - Iron Man,sighting,0:01:53,0:00:03,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:53
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:01:57,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:11:57
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:00,0:00:04,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:00
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:08,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:08
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:10,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:10
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:14,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:14
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:17,0:00:01,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:17
Perrier,water bottle,food & drink,tony Stark - Iron Man,sighting,0:02:20,0:00:02,Garage workshop,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:20
Audi,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:25,0:00:03,highway,obvious,no,Robert Downey Jr.,male,43,white,,,,,0:12:25
Rolls-Royce,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:29,0:00:02,highway,obvious,no,Robert Downey Jr.,male,43,white,,,,,0:12:29
Audi,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:32,0:00:05,airport,obvious,yes,Robert Downey Jr.,male,43,white,,,,,0:12:32
Audi,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:37,0:00:03,airport,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:37
Rolls-Royce,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:38,0:00:02,airport,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:38
Audi,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:43,0:00:08,airport,subtle,yes,Robert Downey Jr.,male,43,white,,,,,0:12:43
Rolls-Royce,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:43,0:00:08,airport,subtle,no,Robert Downey Jr.,male,43,white,,,,,0:12:43
Vanity Fair,magazine,entertainment,Tony Stark - Iron Man,mention,0:02:55,0:00:02,airport,-,-,Robert Downey Jr.,male,43,white,,,,,0:12:55
Audi,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:57,0:00:08,airport,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:57
Rolls-Royce,car,vehicle,Tony Stark - Iron Man,Sighting,0:02:57,0:00:08,airport,background,no,Robert Downey Jr.,male,43,white,,,,,0:12:57
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:04:27,0:00:10,airbase,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:14:27
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:04:37,0:00:12,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:14:37
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:04:54,0:00:16,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:14:54
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:05:13,0:00:06,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:15:13
Ray-Ban,sunglasses,"clothing, footwear & accessories",Tony Stark - Iron Man,Sighting,0:05:38,0:00:06,desert,subtle,no,Robert Downey Jr.,male,43,white,ray-ban 3320,,,,0:15:38
