brand,product,category,character,type,time,duration,location,visibility,hasLogo,quote,actor,gender,age,ethnicity,notes,screenshotURL,videoURL,video2URL,realTime
Audi,car,vehicle,Pepper Potts - Iron Man,sighting,0:00:00,0:00:01,Parking Garage,discreet,no,,Jeff Bridges,male,59,white,,,,,
Dodge Ram,car,vehicle,Rhodey - Iron Man,sighting,0:00:03,0:00:02,street,subtle,yes,,Terrence Howard,male,39,black,,,,,
Purol Pep,sign,advertising,Rhodey - Iron Man,sighting,0:02:03,0:00:01,workshop,discreet,yes,,Terrence Howard,male,39,black,,,,,
Audi,car,vehicle,Agent Coulson  - Iron Man,sighting,0:02:17,0:00:03,parking lot,subtle,yes,,Clark Gregg,male,46,white,,,,,
Ford,car,vehicle,Agent Coulson  - Iron Man,sighting,0:02:21,0:00:08,parking lot,obvious to subtle,yes,,-,male,-,white,,,,,
Audi,car,vehicle,Agent Coulson  - Iron Man,sighting,0:02:23,0:00:07,parking lot,subtle,yes,,Clark Gregg,male,46,white,,,,,
Dell,monitor,device,-,sighting,0:02:39,0:00:05,Laboratory,subtle,no,,-,-,-,-,,,,,
Dell,monitor,device,Tony Stark - Iron Man,sighting,0:03:26,0:00:01,workshop,background,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:03:28,0:00:04,Garage workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Goodyear,tire(s),vehicle,Tony Stark - Iron Man,sighting,0:03:28,0:00:04,Garage workshop,subtle,Yes,,Robert Downey Jr.,male,43,white,,,,,
Audi,car,vehicle,Tony Stark - Iron Man,sighting,0:03:38,0:00:02,Garage workshop,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Saleen,car,vehicle,Tony Stark - Iron Man,,0:03:38,0:00:02,Garage workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Shelby Cobra,Car,vehicle,Tony Stark - Iron Man,sighting,0:03:40,0:00:01,Garage workshop,subtle,no,,Robert Downey Jr.,male,43,white,,,,,
Dell,monitor,device,Rhodey - Iron Man,sighting,0:03:44,0:00:11,workshop,background,no,,Terrence Howard,male,39,white,,,,,
Audi,car,vehicle,Rhodey - Iron Man,sighting,0:03:57,0:01:02,Garage workshop,subtle,yes,,terrence Howard,male,39,white,,,,,
Saleen,car,vehicle,Rhodey - Iron Man,sighting,0:03:58,0:01:01,Garage workshop,subtle,no,,Terrence Howard,male,39,white,,,,,
Dodge,car,vehicle,tony Stark - Iron Man,sighting,0:06:21,0:00:02,highway,subtle,no,,robert Downey Jr.,male,43,white,,,,,
Audi,Minivan,vehicle,-,sighting,0:06:24,0:00:01,highway,subtle,yes,,-,-,-,-,,,,,
Audi,Minivan,vehicle,Obadiah Stane - Iron Man,sighting,0:06:38,0:00:01,highway,subtle,yes,,Jeff Bridges,male,59,white,,,,,
Audi,Minivan,vehicle,Tony Stark - Iron Man,sighting,0:06:50,0:00:02,highway,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Nissan,Truck,vehicle,Tony Stark - Iron Man,sighting,0:06:50,0:00:02,highway,background,no,,Robert Downey Jr.,male,43,white,,,,,
Audi,Minivan,vehicle,Tony Stark - Iron Man,sighting,0:07:03,0:00:01,highway,subtle,yes,,robert Downey Jr.,male,43,white,,,,,
Audi,Minivan,vehicle,Tony Stark - Iron Man,sighting,0:07:10,0:00:04,highway,subtle,yes,,robert Downey Jr.,male,43,white,,,,,
Hyundai,car,vehicle,OBadiah Stane - Iron Man,sighting,0:07:14,0:00:02,highway,subtle,yes,,Jeff Bridges,male,59,white,,,,,
Ford,car,vehicle,Tony Stark - Iron Man,sighting,0:07:23,0:00:01,highway,subtle,yes,,Robert Downey Jr.,male,43,white,,,,,
Roxxon Corp,Petroleum,establishment,Obediah,sighting,0:07:54,0:00:02,highway,background,yes,,Jeff Bridges,male,59,white,,,,,
Dell,monitor,device,-,sighting,0:08:36,0:00:01,Military control room,close-up,yes,,-,-,-,-,,,,,
Dell,monitor,device,-,sighting,0:08:41,0:00:01,Military control room,background,yes,,-,-,-,-,,,,,
Dell,monitor,device,-,sighting,0:08:47,0:00:01,Military control room,background,yes,,-,-,-,-,,,,,
