Date,State,City,Address,Killed,Injured
November 14 2019,Minnesota,Rochester,3900 block of 18th Ave NW,0,2
November 14 2019,Arkansas,Little Rock,7621 Geyer Springs Rd,0,1
November 14 2019,Colorado,Aurora,Pheasant Run Pkwy and S Memphis St,0,1
November 14 2019,New York,New York (Manhattan),Sherman Ave and Thayer St,0,1
November 14 2019,Tennessee,Memphis,4515 Millbranch Rd,1,0
November 14 2019,Tennessee,Nashville,393 Elysian Fields Ct,1,0
November 14 2019,Virginia,Colonial Heights,3500 block of Colonnade Dr,0,2
November 14 2019,Florida,Fort Pierce,100 block of Omni Dr,1,1
November 14 2019,Texas,Beaumont,2578 I-10 Frontage Rd,1,0
November 14 2019,Virginia,Petersburg,1600 block of Lincoln St,1,0
November 14 2019,Florida,Orlando,1000 block of Redman St,0,1
November 14 2019,Texas,Houston,15700 block of the Eastex Fwy,1,0
November 14 2019,California,Santa Clarita,21900 Centurion Way,2,4
November 14 2019,Illinois,Chicago,4700 block of N Monticello Ave,0,1
November 14 2019,Tennessee,Nashville,1600 block of 23rd Ave N,0,1
November 14 2019,Tennessee,Munford,302 Bass St,1,0
November 14 2019,Tennessee,Memphis,5174 Millbranch Rd,0,1
November 14 2019,Tennessee,Memphis,3456 Lamar Ave,0,1
November 14 2019,Tennessee,Memphis,Wythe Rd,1,0
November 14 2019,Kentucky,Louisville,4001 Herman St,0,0
November 14 2019,New Mexico,Roswell,N/A,0,1
November 14 2019,Kentucky,Louisville,1000 block of W Muhammad Ali Blvd,1,0
November 14 2019,Kentucky,Louisville,1801 W Broadway,1,0
November 14 2019,Kentucky,Lexington,Hollow Creek Rd,0,1
November 14 2019,Connecticut,Bridgeport,150 Highland Ave,0,0
November 14 2019,Illinois,Lansing,18595 Torrence Ave,0,2
November 14 2019,Louisiana,Kaplan,LA-35 and LA-335,1,0
November 14 2019,Ohio,Cleveland,4900 Turney Rd,0,0
November 14 2019,Pennsylvania,Pittsburgh,E 16th Ave and Maple St,0,1
November 14 2019,Indiana,Indianapolis,3000 block of Island Club Ln,0,1
November 13 2019,Alabama,Birmingham,3200 block of 32nd Pl N,0,1
November 13 2019,Texas,Fort Worth,500 block of W Spurgeon St,0,1
November 13 2019,Missouri,Kansas City,Linwood Blvd and Charlotte St,1,0
November 13 2019,Missouri,Kansas City (North Kansas City),1211 Armour Rd,1,1
