name,quote,amount
John McCain,"""Praying for all impacted by horrific shooting in Sutherland Springs TX and grateful to officers & 1st responders for their courageous action.""",$7740521 from the NRA
Richard Burr,"""Praying for those affected in the unspeakable tragedy at the First Baptist Church in Sutherland Springs, TX.""",$6986620 from the NRA
Marco Rubio,"""We pray for the Sutherland Springs community in this difficult time. So incredibly thankful to the first responders""","$3,303,355 from the  NRA"
Roy Blunt,"""My prayers are with the victims of the heartbreaking tragedy in Sutherland Springs""","$4,551,146 from the NRA"
Thom Tillis,"""My prayers are with the First Baptist Church and the community of Sutherland Springs TX. ""","$4,418,012 from the NRA"
Cory Gardner,"""Our hearts are with the people of Sutherland Springs, TX during this tragedy & thank you to our first responders & emergency personnel.""","$3,879,064 from the NRA"
Joni Ernst,No statement on Sutherland Springs,"$3,124,273 from the NRA"
Rob Portman,"""Jane & I are devastated by the news out of Sutherland Springs, Texas. We send our prayers to that community & first responders at the scene""","$3,061,941 from the NRA"
Todd Young,"""Heartbroken by the news out of Sutherland Springs, Texas. Praying for the victims and their families.""","$2,896,732 from the NRA"
Bill Cassidy,"""Our prayers are with everyone affected by the tragic event in Sutherland Springs, Texas.""","$2,861,047 from the NRA"
