strat1	strat2	value
4	4	100
4	8	64
4	9	1
4	6	100
4	10	0
4	1	100
4	2	100
4	7	45
4	5	100
4	3	100
8	4	35
8	8	50
8	9	1
8	6	100
8	10	0
8	1	1
8	2	52
8	7	55
8	5	50
8	3	67
9	4	2
9	8	98
9	9	99
9	6	100
9	10	0
9	1	2
9	2	13
9	7	40
9	5	2
9	3	51
6	4	100
6	8	0
6	9	1
6	6	100
6	10	0
6	1	100
6	2	100
6	7	84
6	5	100
6	3	100
10	4	1
10	8	99
10	9	1
10	6	100
10	10	0
10	1	1
10	2	11
10	7	38
10	5	1
10	3	50
1	4	100
1	8	98
1	9	1
1	6	100
1	10	0
1	1	100
1	2	100
1	7	46
1	5	100
1	3	100
2	4	100
2	8	48
2	9	1
2	6	100
2	10	0
2	1	100
2	2	100
2	7	86
2	5	100
2	3	100
7	4	59
7	8	60
7	9	1
7	6	100
7	10	0
7	1	11
7	2	100
7	7	63
7	5	48
7	3	84
5	4	100
5	8	50
5	9	1
5	6	100
5	10	0
5	1	100
5	2	100
5	7	55
5	5	100
5	3	100
3	4	100
3	8	33
3	9	1
3	6	100
3	10	0
3	1	100
3	2	100
3	7	82
3	5	100
3	3	100
