strat1	strat2	value
1	1	100
1	2	0
1	3	100
1	4	100
1	5	100
1	6	84
1	7	100
1	8	100
1	9	1
1	10	100
2	1	100
2	2	0
2	3	1
2	4	1
2	5	50
2	6	44
2	7	1
2	8	11
2	9	1
2	10	1
3	1	100
3	2	0
3	3	100
3	4	100
3	5	100
3	6	38
3	7	100
3	8	100
3	9	1
3	10	100
4	1	100
4	2	0
4	3	100
4	4	100
4	5	100
4	6	67
4	7	100
4	8	100
4	9	1
4	10	100
5	1	100
5	2	0
5	3	100
5	4	100
5	5	100
5	6	70
5	7	100
5	8	100
5	9	1
5	10	100
6	1	100
6	2	0
6	3	2
6	4	56
6	5	95
6	6	79
6	7	13
6	8	100
6	9	1
6	10	30
7	1	100
7	2	0
7	3	100
7	4	100
7	5	100
7	6	37
7	7	100
7	8	100
7	9	1
7	10	100
8	1	100
8	2	0
8	3	100
8	4	100
8	5	100
8	6	90
8	7	100
8	8	100
8	9	1
8	10	100
9	1	100
9	2	0
9	3	2
9	4	2
9	5	51
9	6	42
9	7	2
9	8	13
9	9	99
9	10	2
10	1	100
10	2	0
10	3	100
10	4	100
10	5	100
10	6	34
10	7	100
10	8	100
10	9	1
10	10	100
