strat1	strat2	value
1	1	100
1	2	64
1	3	1
1	4	100
1	5	0
1	6	100
1	7	100
1	8	34
1	9	100
1	10	100
2	1	35
2	2	50
2	3	1
2	4	100
2	5	0
2	6	1
2	7	52
2	8	42
2	9	50
2	10	67
3	1	2
3	2	98
3	3	99
3	4	100
3	5	0
3	6	2
3	7	13
3	8	32
3	9	2
3	10	51
4	1	100
4	2	0
4	3	1
4	4	100
4	5	0
4	6	100
4	7	100
4	8	75
4	9	100
4	10	100
5	1	1
5	2	99
5	3	1
5	4	100
5	5	0
5	6	1
5	7	11
5	8	41
5	9	1
5	10	50
6	1	100
6	2	98
6	3	1
6	4	100
6	5	0
6	6	100
6	7	100
6	8	45
6	9	100
6	10	100
7	1	100
7	2	48
7	3	1
7	4	100
7	5	0
7	6	100
7	7	100
7	8	89
7	9	100
7	10	100
8	1	67
8	2	68
8	3	1
8	4	100
8	5	0
8	6	5
8	7	100
8	8	56
8	9	50
8	10	88
9	1	100
9	2	50
9	3	1
9	4	100
9	5	0
9	6	100
9	7	100
9	8	31
9	9	100
9	10	100
10	1	100
10	2	33
10	3	1
10	4	100
10	5	0
10	6	100
10	7	100
10	8	90
10	9	100
10	10	100
