Year,Butter,Cheese,Citrus Fruits,Misc,Non-Citrus Fruits,Nuts and Legumes,Other Dairy,Other Vegetables,Poultry,Vegetable Oils,Shortening,Sugars and Sweeteners,Tomatoes,Total Meat,Total Dairy,Total Fats,Total Fruits,Total Vegetables,White Potato,Whole Milk,Diabetes Incidence,Eggs,Fish,Grains,Green Leafy Vegetables,Lard and Tallow,Lowfat Milk,Margarine,Red Meat
1909,4.61,0.55,0.17,0.24,2.44,2.3,1.89,1.28,0.85,0.48,2.55,11.86,0.32,14.8,8.6,12.05,2.61,6.54,4.22,5.32,NA,1.61,0.56,39.39,0.72,4.07,0.84,0.34,13.39
1910,4.78,0.64,0.18,0.23,2.36,2.28,1.91,1.29,0.9,0.49,2.58,12.28,0.31,14.16,8.41,12.4,2.54,6.79,4.47,5.03,NA,1.7,0.58,39.21,0.72,4.11,0.82,0.45,12.68
1911,4.88,0.6,0.21,0.24,2.7,2.25,2,1.29,0.92,0.49,2.59,12.67,0.32,14.86,8.31,12.27,2.91,5.9,3.62,4.89,NA,1.83,0.58,38.76,0.68,3.99,0.81,0.32,13.36
1912,4.38,0.58,0.19,0.28,2.79,2.3,2.23,1.34,0.89,0.39,2.7,12.55,0.34,14.39,9.2,11.62,2.99,6.48,4.11,5.57,NA,1.74,0.58,38.46,0.69,3.72,0.82,0.43,12.92
1913,4.36,0.62,0.17,0.25,2.38,2.28,2.27,1.28,0.86,0.62,3.1,13.22,0.34,14.23,9.03,12.07,2.55,6.61,4.31,5.35,NA,1.71,0.58,38.05,0.67,3.56,0.79,0.43,12.79
1914,4.51,0.63,0.26,0.26,2.76,2.18,2.29,1.31,0.87,1.24,3.51,13.19,0.35,13.95,8.69,13.22,3.01,5.94,3.64,5.02,NA,1.67,0.58,37.88,0.65,3.54,0.76,0.42,12.5
1915,4.61,0.62,0.24,0.3,2.74,2.21,2.36,1.31,0.88,1.03,3.31,12.87,0.34,13.75,8.39,13.25,2.98,6.63,4.26,4.67,NA,1.78,0.56,37.84,0.72,3.88,0.74,0.43,12.31
1916,4.7,0.58,0.23,0.34,2.55,2.16,2.74,1.31,0.85,0.67,3.11,13.04,0.33,14.35,8.6,13,2.78,5.75,3.39,4.55,NA,1.73,0.54,38.25,0.71,3.96,0.73,0.56,12.95
1917,4.32,0.56,0.24,0.45,2.64,2.82,2.57,1.33,0.84,0.3,3.66,13.44,0.36,13.81,8.85,12.58,2.88,5.99,3.48,4.98,NA,1.64,0.54,37.53,0.82,3.46,0.74,0.84,12.44
1918,3.8,0.61,0.16,0.45,2.36,2.42,2.98,1.34,0.82,1.22,3.49,13.06,0.38,14.21,10.08,13.51,2.52,6.52,4.02,5.74,NA,1.62,0.52,35.6,0.78,4,0.75,0.99,12.86
1919,4.05,0.66,0.24,0.45,2.54,2.63,2.71,1.36,0.87,0.79,3.81,14.91,0.37,13.95,9.07,13.24,2.78,6.07,3.5,4.99,NA,1.72,0.56,35.19,0.83,3.59,0.72,1,12.52
1920,4.14,0.64,0.27,0.44,2.96,2.27,2.9,1.55,0.87,0.62,2.61,14.98,0.33,14.17,10.27,12.56,3.23,6.11,3.36,5.97,NA,1.77,0.6,34.21,0.86,4.19,0.75,1,12.7
1921,4.66,0.67,0.33,0.47,2.4,2.3,3.04,1.49,0.88,0.95,2.47,15.44,0.32,14.33,10.46,12.58,2.73,6.49,3.82,6,NA,1.82,0.55,33.36,0.86,3.88,0.75,0.62,12.9
1922,4.54,0.65,0.24,0.46,2.84,2.11,3.04,1.41,0.86,1.57,2.2,17.12,0.28,13.73,10.01,13.23,3.08,5.78,3.25,5.62,NA,1.78,0.55,32.7,0.85,4.44,0.69,0.49,12.32
1923,4.7,0.68,0.33,0.47,2.6,2.37,3.11,1.37,0.88,1.56,2.15,15.32,0.33,14.62,9.9,13.75,2.93,6.35,3.89,5.43,NA,1.83,0.51,32.46,0.76,4.75,0.68,0.58,13.23
