id,value
 ,3
 .Karuk,5
 .Karuk.Yareka,5
 .Karuk.Yareka.Autry Museum of the American West,5
 .Karuk.Yareka.Brooklyn Museum,5
 .Karuk.Yareka.Harvard University Peabody Museum,5
 .Karuk.Yareka.Peabody Essex,5
 .Karuk.Yareka.Library of Congress,5
 .Karuk.Yareka.Smithsonian Institution National Museum of the American Indian,5
 .Karuk.Yareka.Smithsonian Institution National Museum of Natural History,5
 .Karuk.Yareka.Smithsonian Institution National Anthropological Archives,5
 .Karuk.Yareka.University of California Berkeley Hearst Museum of Anthropology,5
 .Karuk.Yareka.Field Museum of Natural History,5
 .Karuk.Yareka.The Metropolitan Museum of Art,5
 .Karuk.Yareka.University of Pennsylvania,5
 .Karuk.Yareka.California Indian Museum and Cultural Center,5
 .Karuk.Yareka.Clarke Historical Museum,5
 .Passamaquoddy,7
 .Passamaquoddy.Mrs W Wallace Brown,7
 .Passamaquoddy.Mrs W Wallace Brown.Journal of American Folklore,7
 .Passamaquoddy.Mrs W Wallace Brown.ASA Boston's Children Museum,7
 .Passamaquoddy.Charles Godfrey Leland,7
 .Passamaquoddy.Charles Godfrey Leland.British Library,7
 .Passamaquoddy.Charles Godfrey Leland.Columbia University,7
 .Passamaquoddy.Charles Godfrey Leland.Historical Society of Pennsylvania,7
 .Passamaquoddy.Charles Godfrey Leland.New York Public Library,7
 .Passamaquoddy.Charles Godfrey Leland.Princeton University,7
 .Passamaquoddy.Charles Godfrey Leland.University of Virginia,7
 .Passamaquoddy.Charles Godfrey Leland.Library of Congress,7
 .Passamaquoddy.Jesse Wlater Fewkes,7
 .Passamaquoddy.Jesse Wlater Fewkes.Library of Congress,7
 .Passamaquoddy.Jesse Wlater Fewkes.Smithsonian Institution National Museum of Natural History,7
 .Passamaquoddy.Jesse Wlater Fewkes.Harvard University Peabody Museum,7
 .Passamaquoddy.Jesse Wlater Fewkes.The Archives at Historic Newton,7
 .Passamaquoddy.Jesse Wlater Fewkes.New York Public Library,7
 .Penobscot,9
 .Penobscot.George Gustav Heye,9
 .Penobscot.George Gustav Heye.Harvard University Peabody Museum,9
 .Penobscot.George Gustav Heye.Smithsonian Institution National Museum of the American Indian,9
 .Penobscot.George Gustav Heye.Cornell University,9
 .Penobscot.George Gustav Heye.Yale University Peabody Museum,9
 .Penobscot.Charles Godfrey Leland,9
 .Penobscot.Charles Godfrey Leland.British Library,9
 .Penobscot.Charles Godfrey Leland.Columbia University,9
 .Penobscot.Charles Godfrey Leland.Historical Society of Pennsylvania,9
 .Penobscot.Charles Godfrey Leland.New York Public Library,9
 .Penobscot.Charles Godfrey Leland.Princeton University,9
 .Penobscot.Charles Godfrey Leland.University of Virginia,9
 .Penobscot.N/A,9
 .Penobscot.N/A.Boston Children's Museum,9
 .Penobscot.N/A.Peabody Essex,9
 .Penobscot.N/A.Abbe Museum,9
 .Penobscot.N/A.University of Maine Hudson Museum,9
 .Penobscot.N/A.Maine State Museum,9
 .Penobscot.N/A.American Philosophical Society,9
 .Penobscot.N/A.Smithsonian Institution National Museum of Natural History,9
 .Penobscot.N/A.Dartmouth College,9
 .Penobscot.N/A.Smithsonian Institution National Anthropological Archives,9
 .Penobscot.N/A.Canadian Museum of History,9
 .Penobscot.N/A.University of Pennsylvania,9
 .Penobscot.N/A.Denver Museum of Nature and Science,9
 .Penobscot.N/A.Field Museum of Natural History,9
 .Penobscot.N/A.Heard Museum,9
 .Penobscot.N/A.Davistown Museum,9
 .Penobscot.N/A.Colby College Museum of Art,9
 .Penobscot.N/A.Bates College,9
 .Penobscot.N/A.Bowdoin College,9
 .Penobscot.N/A.Dartmouth College Hood Museum of Art,9
 .Penobscot.N/A.Fairbanks Museum and Planetarium,9
 .Penobscot.N/A.Florence Museum of Anthropology and Ethnology,9
 .Penobscot.N/A.University of British,9
