Point,distant1,equalX6,equalY6,newClusters
0,21.58703314,-3.224745254,-21.34481243,6
1,21.56385865,-4.895921451,-21.00071316,6
2,21.54065923,-6.534656602,-20.52555147,6
3,21.51743479,-8.130638372,-19.92216654,6
4,21.49418526,-9.673788374,-19.19421315,6
5,21.47091055,-11.15432967,-18.34614209,6
6,21.44761059,-12.56284748,-17.38317759,6
7,21.42428529,-13.89035327,-16.31128708,6
8,21.40093456,-15.1283427,-15.13714792,6
9,21.37755833,-16.2688513,-13.86811009,6
10,21.3541565,-17.30451076,-12.51215038,6
11,21.33072901,-18.22859589,-11.07782885,6
12,21.30727575,-19.03507504,-9.574231978,6
13,21.28379665,-19.71864895,-8.010922756,6
14,21.26029163,-20.2747909,-6.397878873,6
15,21.23676058,-20.69978023,-4.745429222,6
16,21.21320344,-20.99072916,-3.064194779,6
17,21.1896201,-21.14560794,-1.365014534,6
18,21.16601049,-21.16326154,0.341117164,6
19,21.14237451,-21.04342262,2.043126172,6
20,21.11871208,-20.78671805,3.729926607,6
21,21.09502311,-20.39466991,5.390495283,6
22,21.07130751,-19.86969043,7.013943427,6
23,21.04756518,-19.21507099,8.589589451,6
24,21.02379604,-18.43496621,10.10702829,6
25,21,-17.53437082,11.55620353,6
26,20.97617696,-16.51909121,12.92747561,6
27,20.95232684,-15.39571288,14.21168621,6
28,20.92844954,-14.17155957,15.40022401,6
29,20.90454496,-12.8546495,16.48508375,6
30,20.88061302,-11.4536472,17.45892224,6
31,20.85665361,-9.977806579,18.31511331,6
32,20.83266666,-8.436916516,19.04779357,6
33,20.80865205,-6.841232745,19.65190919,6
34,20.78460969,-5.201416637,20.12325185,6
35,20.76053949,-3.528463896,20.45849316,6
36,20.73644135,-1.83363153,20.6552123,6
37,20.71231518,-0.12836456,20.71191741,6
38,20.68816087,1.575782631,20.62806121,6
39,20.66397832,3.267222086,20.40405008,6
40,20.63976744,4.934411071,20.04124715,6
41,20.61552813,6.565932606,19.5419684,4
42,20.59126028,8.150574305,18.90947219,4
43,20.5669638,9.677404567,18.14794316,4
44,20.54263858,11.13585205,17.26246793,4
45,20.51828453,12.51577822,16.2590066,4
46,20.49390153,13.80755289,15.14435483,4
47,20.46948949,15.0021206,13.92610418,4
48,20.4450483,16.09106967,12.61259199,4
49,20.42057786,17.06669309,11.2128492,4
50,20.39607805,17.92204768,9.736539777,4
51,20.37154879,18.65100518,8.193900533,4
52,20.34698995,19.24830312,6.595667296,4
53,20.32240143,19.70958441,4.953007384,4
54,20.29778313,20.03143469,3.277441729,4
55,20.27313493,20.21141223,1.580764242,4
56,20.24845673,20.24807066,-0.125037309,4
57,20.22374842,20.14097568,-1.827867258,4
58,20.19900988,19.89071403,-3.51560743,4
59,20.174241,19.49889567,-5.176202046,4
60,20.14944168,18.96814887,-6.797744355,4
61,20.1246118,18.30210703,-8.368564886,4
62,20.09975124,17.50538893,-9.877315346,4
63,20.0748599,16.58357237,-11.31305121,4
64,20.04993766,15.5431586,-12.66531567,4
65,20.02498439,14.39153099,-13.92421759,4
66,20,13.13690944,-15.08050431,4
67,19.97498436,11.78829204,-16.12563707,4
68,19.94993734,10.35539603,-17.05185541,4
69,19.92485885,8.848593761,-17.85223764,4
70,19.89974874,7.278834917,-18.5207603,4
71,19.87460691,5.657576266,-19.05234449,4
72,19.84943324,3.996696249,-19.44290151,4
73,19.8242276,2.308410445,-19.68936873,4
74,19.79898987,0.605184597,-19.78973854,4
75,19.77371993,-1.100356973,-19.74308016,4
76,19.74841766,-2.795524313,-19.54955355,4
77,19.72308292,-4.467657425,-19.21041481,4
78,19.6977156,-6.104217831,-18.72801443,4
79,19.67231557,-7.692886722,-18.1057862,3
80,19.6468827,-9.22165764,-17.34822845,3
81,19.62141687,-10.67892844,-16.46087748,3
82,19.59591794,-12.05359335,-15.45027143,3
83,19.57038579,-13.33512808,-14.32390866,3
84,19.54482029,-14.51367525,-13.09019599,3
85,19.5192213,-15.58012373,-11.7583904,3
86,19.49358869,-16.52618213,-10.33853491,3
87,19.46792233,-17.34444827,-8.841386425,3
88,19.4422221,-18.02847164,-7.278338447,3
89,19.41648784,-18.57281054,-5.661334516,3
90,19.39071943,-18.97307872,-4.002784532,3
91,19.36491673,-19.22598781,-2.315468152,3
92,19.33907961,-19.32937964,-0.612439978,3
93,19.31320792,-19.28225074,1.093072148,3
94,19.28730152,-19.08476759,2.787767178,3
95,19.26136028,-18.7382736,4.458374423,3
96,19.23538406,-18.24528625,6.091759166,3
97,19.20937271,-17.60948504,7.675026815,3
98,19.18332609,-16.83569071,9.195624946,3
99,19.15724406,-15.92983479,10.64144555,3
100,19.13112647,-14.89891972,12.00092459,3
101,19.10497317,-13.75097075,13.263137,3
102,19.07878403,-12.49497999,14.41788733,3
103,19.05255888,-11.14083833,15.45579895,3
104,19.02629759,-9.699266233,16.36839132,3
105,19,-8.181729733,17.14815729,3
106,18.97366596,-6.600355265,17.78862868,3
107,18.94729532,-4.967835729,18.28443623,3
108,18.92088793,-3.297331559,18.63136078,3
109,18.89444363,-1.602366381,18.8263757,3
110,18.86796226,0.10328005,18.86767959,3
111,18.84144368,1.805681363,18.7547198,3
112,18.81488772,3.490880914,18.48820571,3
113,18.78829423,5.145003067,18.07011188,3
114,18.76166304,6.754370671,17.50367038,3
115,18.734994,8.30561704,16.79335362,3
116,18.70828693,9.785801931,15.94484495,3
117,18.68154169,11.18251817,14.96500208,3
118,18.65475811,12.48400289,13.86180623,3
119,18.62793601,13.67923913,12.64430373,3
120,18.60107524,14.75805181,11.32253977,3
121,18.57417562,15.71120212,9.907478388,2
122,18.54723699,16.53047005,8.410919096,2
123,18.52025918,17.20873257,6.845401619,2
124,18.49324201,17.74003182,5.224104815,2
125,18.46618531,18.11963376,3.560740407,2
126,18.43908891,18.34407796,1.869439346,2
127,18.41195264,18.41121657,0.164633955,2
128,18.38477631,18.32024233,-1.539064989,2
129,18.35755975,18.07170535,-3.22699018,2
130,18.33030278,17.66751854,-4.884545889,2
131,18.30300522,17.11095111,-6.497334245,2
132,18.27566688,16.40661004,-8.051282323,2
133,18.24828759,15.56041075,-9.53276546,2
134,18.22086716,14.57953422,-10.92873194,2
135,18.1934054,13.47237398,-12.22682049,2
136,18.16590212,12.24847152,-13.4154741,2
137,18.13835715,10.91844186,-14.48404734,2
138,18.11077028,9.49388506,-15.4229098,2
139,18.08314132,7.987293506,-16.22353668,2
140,18.05547009,6.411947347,-16.87859388,2
141,18.02775638,4.78179971,-17.38201345,2
142,18,3.111359774,-17.72905639,2
143,17.97220076,1.415565678,-17.91636609,2
144,17.94435844,-0.290348578,-17.94200929,2
145,17.91647287,-1.990983589,-17.80550433,2
146,17.88854382,-3.670919558,-17.50783681,2
147,17.8605711,-5.314850207,-17.05146232,2
148,17.8325545,-6.907726924,-16.44029528,2
149,17.80449381,-8.434897211,-15.67968459,2
150,17.77638883,-9.882241787,-14.77637632,2
151,17.74823935,-11.23630991,-13.73846205,2
152,17.72004515,-12.48444877,-12.57531467,2
153,17.69180601,-13.61492649,-11.29751196,2
154,17.66352173,-14.61704789,-9.916749008,2
155,17.63519209,-15.48126412,-8.445736279,2
156,17.60681686,-16.19927054,-6.89808914,2
157,17.57839583,-16.76409393,-5.288209034,2
158,17.54992877,-17.1701699,-3.631152086,2
159,17.52141547,-17.4134062,-1.942494458,2
160,17.49285568,-17.49123402,-0.238185448,2
161,17.4642492,-17.40264432,1.465595754,2
162,17.43559577,-17.14821037,3.152599053,2
163,17.40689519,-16.73009575,4.806651254,2
164,17.3781472,-16.15204559,6.411819033,2
165,17.34935157,-15.41936456,7.952559107,2
166,17.32050808,-14.53887872,9.413873051,2
167,17.29161647,-13.51888033,10.78145977,2
168,17.2626765,-12.3690611,12.04185731,2
169,17.23368794,-11.10042932,13.18258203,2
170,17.20465053,-9.725211336,14.19226072,2
171,17.17556404,-8.256744296,15.06074944,1
172,17.1464282,-6.709350704,15.77924628,1
173,17.11724277,-5.098208543,16.34038769,1
174,17.08800749,-3.439205312,16.73833525,1
175,17.05872211,-1.748787428,16.96884624,1
176,17.02938637,-0.043799491,17.02933004,1
177,17,1.658681278,16.91888816,1
178,16.97056275,3.34151317,16.63833795,1
179,16.94107435,4.987664902,16.19021924,1
180,16.91153453,6.580388023,15.57878345,1
181,16.88194302,8.103389731,14.8099654,1
182,16.85229955,9.541003195,13.89133752,1
183,16.82260384,10.87835399,12.83204638,1
184,16.79285562,12.10151907,11.64273318,1
