IDNum,Number,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,equalX,equalY,spiralSevX,spiralSevY,theta0,theta1,equalX0,equalX1,equalY0,equalY1,sunflrx1,sunflry1,sunflrx,sunflry,testRec,testEnr,testEng,testStat,testGen,testYr
231,169,0,-0.34382,-0.1126,170,3.5,3,-0.3321476,-0.1116428,0.0001372,0.0117116,0.291088,0.0112189,0.0033612,-3.9887811,-1.4887811,-0.3966388,0.785274506,0.619147761,-34.21472549,90.61914776,4.999999915,147,2.836621037,-7.931364192,-9.589242989,6.090440219,-77.16337896,130.410757,-77.16337896,130.410757,1,20,2,0,1,15
119,211,0,-0.30441,-0.11245,212,-3,3.5,-0.3321476,-0.1116428,0.00077,0.0277494,0.6842829,0.0215022,0.0175409,-3.9784978,-1.4784978,-0.3824591,0.618157473,1.902072906,-34.38184253,91.90207291,5.499999906,148.47,7.795366789,-7.543389274,-7.760944313,-8.006077582,-72.20463321,132.2390557,-72.20463321,132.2390557,2,17,1,1,1,7
336,200,0,-0.34263,-0.15001,201,-3.5,-1.5,-0.3321476,-0.1116428,0.0015819,0.0397734,0.9750692,0.0223173,0.032922,-3.9776827,-1.4776827,-0.367078,-0.632942856,2.932470518,-35.63294286,92.93247052,5.999999898,149.94,11.5220431,7.861508133,-3.352987158,-9.066239015,-68.4779569,136.6470128,-68.4779569,136.6470128,1,35,6,0,1,13
355,199,0,-0.30553,-0.08098,200,-3.5,-2,-0.3321476,-0.1116428,0.0016487,0.0406043,0.9950392,0.0221078,0.0340581,-3.9778922,-1.4778922,-0.3659419,-2.543461644,3.087199843,-37.54346164,93.08719984,6.499999889,151.41,12.69563944,10.62889964,2.796558437,7.48508466,-67.30436056,142.7965584,-67.30436056,142.7965584,3,19,2,0,1,9
103,203,0,-0.28149,-0.13992,204,-3.5,0,-0.3321476,-0.1116428,0.0033658,0.0580154,1.4098733,0.0092958,0.0572659,-3.9907042,-1.4907042,-0.3427341,-4.50958197,2.159553301,-39.50958197,92.1595533,6.999999881,152.88,10.55463266,-6.868133103,9.197811122,12.19953883,-69.44536734,149.1978111,-69.44536734,149.1978111,3,9,5,0,1,8
116,210,0,-0.3677,-0.05533,211,-3.5,3.5,-0.3321476,-0.1116428,0.0044351,0.0665966,1.6118208,-0.0027313,0.0665406,-4.0027313,-1.5027313,-0.3334594,-5.993543222,0.278279805,-40.99354322,90.2782798,7.499999872,154.35,5.199531568,-13.74506697,14.06999899,-6.006091414,-74.80046843,154.069999,-74.80046843,154.069999,1,12,1,0,1,12
147,166,0,-0.26412,-0.09913,167,2,3,-0.3321476,-0.1116428,0.0047843,0.0691688,1.6720387,-0.0069909,0.0688146,-4.0069909,-1.5069909,-0.3311854,-6.635467626,-2.229477378,-41.63546763,87.77052262,7.999999864,155.82,-2.327998381,4.898665761,15.82973226,-15.23164711,-82.32799838,155.8297323,-82.32799838,155.8297323,6,1,5,0,0,16
389,202,0,-0.36344,-0.19303,203,-3.5,-0.5,-0.3321476,-0.1116428,0.0076031,0.0871957,2.0900401,-0.0432686,0.0757028,-4.0432686,-1.5432686,-0.3242972,-6.27500414,-4.962290101,-41.27500414,85.0377099,8.499999855,157.29,-10.23420038,16.62522271,13.5742824,3.549925322,-90.23420038,153.5742824,-90.23420038,153.5742824,3,33,9,0,1,7
114,209,0,-0.38666,-0.18774,210,-3.5,3,-0.3321476,-0.1116428,0.0087624,0.0936076,2.2370486,-0.0578536,0.073589,-4.0578536,-1.5578536,-0.326411,-4.924655532,-7.533111435,-39.92465553,82.46688857,8.999999846,158.76,-16.40034358,-1.968333792,7.418135252,17.89205584,-96.40034358,147.4181353,-96.40034358,147.4181353,1,7,2,1,1,8
400,149,0,-0.23572,-0.118,150,-3,-0.5,-0.3321476,-0.1116428,0.0093387,0.0966369,2.3062042,-0.0648327,0.0716618,-4.0648327,-1.5648327,-0.3283382,-2.723870357,-9.62187769,-37.72387036,80.37812231,9.499999838,160.23,-18.9462712,-18.99926855,-1.427868218,-0.166716532,-98.9462712,138.5721318,-98.9462712,138.5721318,1,31,5,0,1,16
82,137,0,-0.38029,-0.02357,138,0.5,-3,-0.3321476,-0.1116428,0.0100745,0.1003719,2.3912048,-0.0734144,0.0684458,-4.0734144,-1.5734144,-0.3315542,0.109107913,-10.99945887,-34.89089209,79.00054113,9.999999829,161.7,-16.78143244,-1.837836837,-10.88041936,-19.91537988,-96.78143244,129.1195806,-96.78143244,129.1195806,2,17,1,0,0,7
250,194,0,-0.29205,-0.01618,195,-2.5,-3.5,-0.3321476,-0.1116428,0.010721,0.1035421,2.4631278,-0.0806114,0.0649829,-4.0806114,-1.5806114,-0.3350171,3.319210467,-11.53181867,-31.68078953,78.46818133,10.49999982,163.17,-9.986278797,20.61083083,-18.47360917,-4.024133742,-89.9862788,121.5263908,-89.9862788,121.5263908,1,1,5,0,1,16
249,183,0,-0.24834,-0.17354,184,3,-3.5,-0.3321476,-0.1116428,0.010855,0.1041872,2.4777377,-0.0820602,0.0641957,-4.0820602,-1.5820602,-0.3358043,6.647177651,-11.17206468,-28.35282235,78.82793532,10.99999981,164.64,0.097361228,6.367102359,-21.99978456,21.05849015,-79.90263877,118.0002154,-79.90263877,118.0002154,4,24,5,0,1,9
255,143,0,-0.22948,-0.14432,144,-2.5,-3,-0.3321476,-0.1116428,0.0116084,0.1077425,2.5581029,-0.0899159,0.0593596,-4.0899159,-1.5899159,-0.3406404,9.852602524,-9.946166271,-25.14739748,80.05383373,11.4999998,166.11,11.1160055,-21.23413347,-20.1354022,8.838075335,-68.8839945,119.8645978,-68.8839945,119.8645978,1,1,6,1,1,7
205,184,0,-0.30324,-0.22233,185,2.5,-3.5,-0.3321476,-0.1116428,0.0130873,0.1143997,2.7078977,-0.1038085,0.0480738,-4.1038085,-1.6038085,-0.3519262,12.72851765,-7.936298794,-22.27148235,82.06370121,11.9999998,167.58,20.25249237,-11.40513038,-12.87775418,-21.116889,-59.74750763,127.1222458,-59.74750763,127.1222458,3,1,10,0,1,9
247,175,0,-0.36,0.00017,176,3.5,0,-0.3321476,-0.1116428,0.0132779,0.1152296,2.726508,-0.1054446,0.0464684,-4.1054446,-1.6054446,-0.3535316,15.10917059,-5.264310422,-19.89082941,84.73568958,12.49999979,169.05,24.94495663,20.68964318,-1.658052753,-14.03348371,-55.05504337,138.3419472,-55.05504337,138.3419472,2,1,5,1,1,19
77,158,0,-0.44157,-0.16697,159,-2,3,-0.3321476,-0.1116428,0.0150344,0.1226147,2.8915121,-0.1188004,0.0303449,-4.1188004,-1.6188004,-0.3696551,16.87267505,-2.076737015,-18.12732495,87.92326299,12.99999978,170.52,23.59361874,16.68593178,10.92433773,19.9394002,-56.40638126,150.9243377,-56.40638126,150.9243377,3,1,3,0,1,11
165,186,0,-0.28826,-0.22915,187,1.5,-3.5,-0.3321476,-0.1116428,0.0157341,0.1254355,2.9542511,-0.1232407,0.0233621,-4.1232407,-1.6232407,-0.3766379,17.94004299,1.46794324,-17.05995701,91.46794324,13.49999977,171.99,16.06286291,-18.85758992,21.70217582,19.3233357,-63.93713709,161.7021758,-63.93713709,161.7021758,2,22,6,1,0,9
