IDNum,Number,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,equalX,equalY,spiralSevX,spiralSevY,theta0,theta1,equalXold,equalX1,equalYold,equalY1,sunflrx1,sunflry1,sunflrxOLD,sunflryOLD,words,Recognitions,Enrollments,Engagements,status,gender,yearsteaching,equalX0,equalY0,sunflrx,sunflry
231,169,0,-0.34382,-0.1126,170,3.5,3,-0.3321476,-0.1116428,0.0001372,0.0117116,0.291088,0.0112189,0.0033612,-3.9887811,-1.4887811,-0.3966388,0.785274506,0.619147761,-34.21472549,90.61914776,4.999999915,147,2.836621037,-7.931364192,-9.589242989,6.090440219,-77.16337896,130.410757,-77.16337896,130.410757,shares many of the same standards found in mathematical practice,1,20,2,0,1,15,-0.943080993,-0.332563138,-23.94308099,4.667436862
119,211,0,-0.30441,-0.11245,212,-3,3.5,-0.3321476,-0.1116428,0.00077,0.0277494,0.6842829,0.0215022,0.0175409,-3.9784978,-1.4784978,-0.3824591,0.618157473,1.902072906,-34.38184253,91.90207291,5.499999906,148.47,7.795366789,-7.543389274,-7.760944313,-8.006077582,-72.20463321,132.2390557,-72.20463321,132.2390557,"acquire new vocabulary constantly, apply their mathematical thinking to real-world problems",2,17,1,1,1,7,0.29472493,-1.383162035,-22.70527507,3.616837965
336,200,0,-0.34263,-0.15001,201,-3.5,-1.5,-0.3321476,-0.1116428,0.0015819,0.0397734,0.9750692,0.0223173,0.032922,-3.9776827,-1.4776827,-0.367078,-0.632942856,2.932470518,-35.63294286,92.93247052,5.999999898,149.94,11.5220431,7.861508133,-3.352987158,-9.066239015,-68.4779569,136.6470128,-68.4779569,136.6470128,my students could apply many mathematical formulas with great ease,1,35,6,0,1,13,1.676222223,-0.436209881,-21.32377778,4.563790119
355,199,0,-0.30553,-0.08098,200,-3.5,-2,-0.3321476,-0.1116428,0.0016487,0.0406043,0.9950392,0.0221078,0.0340581,-3.9778922,-1.4778922,-0.3659419,-2.543461644,3.087199843,-37.54346164,93.08719984,6.499999889,151.41,12.69563944,10.62889964,2.796558437,7.48508466,-67.30436056,142.7965584,-67.30436056,142.7965584,"the ""low-grade clerical work"" assigned to students stifles their mathematical thinking and discourages their creativity",3,19,2,0,1,9,1.557607037,1.254535897,-21.44239296,6.254535897
103,203,0,-0.28149,-0.13992,204,-3.5,0,-0.3321476,-0.1116428,0.0033658,0.0580154,1.4098733,0.0092958,0.0572659,-3.9907042,-1.4907042,-0.3427341,-4.50958197,2.159553301,-39.50958197,92.1595533,6.999999881,152.88,10.55463266,-6.868133103,9.197811122,12.19953883,-69.44536734,149.1978111,-69.44536734,149.1978111,how climatologists use mathematical models to make predictions about how variables like albedo and emissivity will impact temperature,3,9,5,0,1,8,0.158839118,2.230419273,-22.84116088,7.230419273
116,210,0,-0.3677,-0.05533,211,-3.5,3.5,-0.3321476,-0.1116428,0.0044351,0.0665966,1.6118208,-0.0027313,0.0665406,-4.0027313,-1.5027313,-0.3334594,-5.993543222,0.278279805,-40.99354322,90.2782798,7.499999872,154.35,5.199531568,-13.74506697,14.06999899,-6.006091414,-74.80046843,154.069999,-74.80046843,154.069999,mathematical modeling for quantum physics projects could require slightly less computing,1,12,1,0,1,12,-1.524444204,1.917307974,-24.5244442,6.917307974
147,166,0,-0.26412,-0.09913,167,2,3,-0.3321476,-0.1116428,0.0047843,0.0691688,1.6720387,-0.0069909,0.0688146,-4.0069909,-1.5069909,-0.3311854,-6.635467626,-2.229477378,-41.63546763,87.77052262,7.999999864,155.82,-2.327998381,4.898665761,15.82973226,-15.23164711,-82.32799838,155.8297323,-82.32799838,155.8297323,mathematical techniques (mentoring professors require the students to learn with my help),6,1,5,0,0,16,-2.584303605,0.566899353,-25.5843036,5.566899353
389,202,0,-0.36344,-0.19303,203,-3.5,-0.5,-0.3321476,-0.1116428,0.0076031,0.0871957,2.0900401,-0.0432686,0.0757028,-4.0432686,-1.5432686,-0.3242972,-6.27500414,-4.962290101,-41.27500414,85.0377099,8.499999855,157.29,-10.23420038,16.62522271,13.5742824,3.549925322,-90.23420038,153.5742824,-90.23420038,153.5742824,helping them out with pedagogical and mathematical content issues,3,33,9,0,1,7,-2.582742066,-1.153014927,-25.58274207,3.846985073
114,209,0,-0.38666,-0.18774,210,-3.5,3,-0.3321476,-0.1116428,0.0087624,0.0936076,2.2370486,-0.0578536,0.073589,-4.0578536,-1.5578536,-0.326411,-4.924655532,-7.533111435,-39.92465553,82.46688857,8.999999846,158.76,-16.40034358,-1.968333792,7.418135252,17.89205584,-96.40034358,147.4181353,-96.40034358,147.4181353,how students engage with problem solving and mathematical representation,1,7,2,1,1,8,-1.577605796,-2.551697465,-24.5776058,2.448302535
400,149,0,-0.23572,-0.118,150,-3,-0.5,-0.3321476,-0.1116428,0.0093387,0.0966369,2.3062042,-0.0648327,0.0716618,-4.0648327,-1.5648327,-0.3283382,-2.723870357,-9.62187769,-37.72387036,80.37812231,9.499999838,160.23,-18.9462712,-18.99926855,-1.427868218,-0.166716532,-98.9462712,138.5721318,-98.9462712,138.5721318,how to tackle complex problems and model mathematically,1,31,5,0,1,16,0.035068001,-3.162083211,-22.964932,1.837916789
82,137,0,-0.38029,-0.02357,138,0.5,-3,-0.3321476,-0.1116428,0.0100745,0.1003719,2.3912048,-0.0734144,0.0684458,-4.0734144,-1.5734144,-0.3315542,0.109107913,-10.99945887,-34.89089209,79.00054113,9.999999829,161.7,-16.78143244,-1.837836837,-10.88041936,-19.91537988,-96.78143244,129.1195806,-96.78143244,129.1195806,expand my mathematical knowledge in a variety of calculus classes,2,17,1,0,0,7,1.728782959,-2.830425671,-21.27121704,2.169574329
250,194,0,-0.29205,-0.01618,195,-2.5,-3.5,-0.3321476,-0.1116428,0.010721,0.1035421,2.4631278,-0.0806114,0.0649829,-4.0806114,-1.5806114,-0.3350171,3.319210467,-11.53181867,-31.68078953,78.46818133,10.49999982,163.17,-9.986278797,20.61083083,-18.47360917,-4.024133742,-89.9862788,121.5263908,-89.9862788,121.5263908,inform those decisions based on sound mathematical understanding,1,1,5,0,1,16,3.024670943,-1.688598734,-19.97532906,3.311401266
