Year,State,Primary Mode,Etiology,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
2011,Ohio,Food,,2,0,2,0,2
2011,Ohio,Food,Norovirus Genogroup II,2,0,2,0,2
2011,Virginia,Food,Norovirus,7,0,7,0,7
2011,Texas,Food,,2,0,2,0,2
2011,Colorado,Food,Norovirus unknown,8,1,8,0,8
2011,Wyoming,Food,Norovirus Genogroup II,24,0,24,0,24
2011,Illinois,Food,Salmonella enterica,29,3,29,0,29
2011,Minnesota,Food,Norovirus Genogroup I,3,0,3,0,3
2011,Minnesota,Food,Norovirus Genogroup I,22,1,13,0,22
2011,New York,Food,"Escherichia coli, Shiga toxin-producing",2,1,2,0,2
2011,South Dakota,Food,Campylobacter jejuni,5,0,5,0,5
2011,Ohio,Food,Norovirus Genogroup II,2,0,2,0,2
2011,Minnesota,Food,Norovirus Genogroup II,6,0,6,0,6
2011,Florida,Food,,7,0,7,0,7
2011,New York,Food,Norovirus; Other,8,0,8,0,8
2011,Missouri,Food,,28,0,28,0,28
2011,Florida,Food,Bacillus cereus,6,0,6,0,6
2011,Ohio,Food,,20,0,20,0,20
2011,Minnesota,Food,Norovirus Genogroup II,5,0,5,0,5
2011,Minnesota,Food,Norovirus Genogroup II,15,0,15,0,15
2011,Rhode Island,Food,Norovirus Genogroup II,14,0,11,0,11
2011,Rhode Island,Food,Norovirus Genogroup II,54,0,53,0,53
2011,California,Food,Norovirus unknown,18,0,18,0,18
2011,Ohio,Food,,3,1,3,0,3
2011,Ohio,Food,,10,0,10,0,10
2011,Ohio,Food,,3,0,3,0,3
2011,Texas,Food,,3,0,3,0,3
2011,Illinois,Food,Norovirus Genogroup I,111,0,111,0,111
2011,Illinois,Food,,2,0,2,0,2
2011,Illinois,Food,Clostridium perfringens,30,0,30,0,30
2011,Illinois,Food,,13,,,0,13
2011,Ohio,Food,,6,0,0,0,0
2011,Illinois,Food,Norovirus Genogroup I,4,0,4,0,4
2011,New York,Food,Norovirus,38,0,38,0,38
2011,Connecticut,Food,Salmonella enterica,11,4,11,0,11
2011,Illinois,Food,Norovirus Genogroup I,12,0,12,0,12
2011,Kansas,Food,Norovirus Genogroup II,3,0,2,0,2
2011,Minnesota,Food,Norovirus,16,0,16,0,16
2011,Minnesota,Food,Salmonella enterica,3,0,3,0,3
2011,Illinois,Food,Norovirus Genogroup II,24,0,24,0,24
2011,Ohio,Food,,5,0,5,0,5
2011,Minnesota,Food,Norovirus,9,0,9,0,9
2011,Illinois,Food,Norovirus,10,1,10,0,10
2011,Illinois,Food,,8,0,8,0,8
2011,Kentucky,Food,,6,0,6,0,6
2011,Missouri,Food,,22,0,22,0,22
2011,South Carolina,Food,,18,0,18,0,18
2011,New York,Food,,6,0,6,0,6
2011,Oklahoma,Food,,352,0,352,0,352
2011,Maryland,Food,Campylobacter jejuni,3,1,1,0,0
2011,Minnesota,Food,Norovirus Genogroup II,53,6,53,0,53
2011,California,Food,,13,0,13,0,13
2011,Hawaii,Food,,2,0,2,0,2
2011,Ohio,Food,,2,0,2,0,2
2011,Illinois,Food,,2,0,2,0,2
2011,Mississippi,Food,Norovirus Genogroup II,24,0,24,0,24
2011,New York,Food,"Escherichia coli, Shiga toxin-producing",2,0,2,0,2
2011,Michigan,Food,,13,0,13,0,13
2011,Minnesota,Food,Norovirus,5,0,5,0,5
2011,Minnesota,Food,Bacillus cereus,3,0,3,0,3
2011,Idaho,Food,,43,1,30,0,30
2011,Minnesota,Food,Clostridium perfringens,32,0,32,0,32
2011,Louisiana,Food,Salmonella enterica,51,2,51,0,51
2011,California,Food,Norovirus unknown,14,0,14,0,14
2011,Pennsylvania,Food,Norovirus,24,0,24,0,24
2011,Texas,Food,,3,0,3,0,3
2011,Ohio,Food,,2,1,2,0,2
2011,Maryland,Food,,6,0,6,0,6
2011,Florida,Food,Norovirus unknown,7,0,7,0,7
2011,Michigan,Food,,6,0,6,0,6
2011,Michigan,Food,,15,0,15,0,15
2011,Colorado,Food,Norovirus unknown,3,0,3,0,3
2011,Oregon,Food,Norovirus Genogroup II,19,0,19,0,19
2011,Oregon,Food,Norovirus Genogroup II,22,,22,,22
2011,Texas,Food,,2,0,0,0,0
2011,Florida,Food,Norovirus Genogroup II,78,3,78,0,78
2011,Connecticut,Food,Salmonella enterica,8,2,8,0,8
2011,Florida,Food,Norovirus Genogroup II,44,0,44,0,44
2011,New York,Food,"Escherichia coli, Shiga toxin-producing",2,2,2,0,2
2011,Ohio,Food,Salmonella enterica,3,0,3,0,3
2011,Michigan,Food,,10,0,10,0,10
2011,Florida,Food,Scombroid toxin,5,0,5,0,5
2011,Illinois,Food,,6,0,6,0,6
2011,Texas,Food,,2,0,2,0,2
2011,Texas,Food,,2,0,2,0,2
2011,Texas,Food,,2,0,2,0,2
2011,Connecticut,Food,Norovirus Genogroup II,24,0,,0,
2011,Maryland,Food,Salmonella enterica,18,5,18,0,18
2011,Rhode Island,Food,Salmonella enterica,81,29,81,2,81
2011,Minnesota,Food,Bacillus cereus,3,0,3,0,3
2011,Hawaii,Food,Norovirus Genogroup II,80,0,80,0,80
2011,Tennessee,Food,Norovirus Genogroup II,3,0,3,0,3
2011,Tennessee,Food,Norovirus Genogroup II,20,1,20,0,20
2011,Texas,Food,,4,0,4,0,4
2011,Minnesota,Food,Trichinella spiralis,2,1,2,0,2
2011,Michigan,Food,Salmonella enterica,6,1,6,0,6
2011,Washington,Food,Norovirus,4,0,4,0,4
2011,New York,Food,,8,0,8,0,8
2011,Michigan,Food,Norovirus Genogroup II,57,0,57,0,57
2011,Idaho,Food,Clostridium perfringens,23,0,23,0,23
2011,Michigan,Food,Salmonella enterica,7,4,7,0,7
2011,South Carolina,Food,Campylobacter jejuni,23,1,23,0,23
2011,Maryland,Food,Norovirus Genogroup I,6,0,6,0,6
2011,New York,Food,Norovirus Genogroup II,9,0,9,0,9
2011,Georgia,Food,Norovirus Genogroup II,22,0,22,0,22
2011,Georgia,Food,Norovirus Genogroup II,207,1,207,0,207
2011,California,Food,,2,0,2,0,2
2011,California,Food,Norovirus unknown,27,0,27,0,27
2011,California,Food,,8,0,8,0,8
2011,California,Food,,11,0,7,0,7
2011,California,Food,,2,0,2,0,2
2011,Florida,Food,Clostridium perfringens,4,0,4,0,4
2011,Florida,Food,,3,0,3,0,3
2011,Minnesota,Food,Norovirus Genogroup I,23,0,23,0,23
2011,Washington,Food,Other,2,0,2,0,2
2011,Washington,Food,Norovirus Genogroup I,9,0,9,0,9
2011,Connecticut,Food,Norovirus Genogroup II,3,0,3,0,3
2011,Florida,Food,Ciguatoxin,2,0,2,0,2
2011,Alabama,Food,Norovirus Genogroup II,18,2,18,0,18
2011,Illinois,Food,Norovirus Genogroup II,24,0,24,0,24
2011,California,Food,Norovirus unknown,18,0,18,0,18
2011,California,Food,Norovirus unknown,8,0,8,0,8
2011,California,Food,Norovirus unknown,21,0,21,0,21
2011,Pennsylvania,Food,Norovirus unknown,57,1,57,0,57
2011,Maine,Food,Norovirus Genogroup II,41,0,41,0,41
2011,Oregon,Food,Salmonella enterica,4,2,4,0,4
2011,Michigan,Food,,2,0,2,0,2
2011,Florida,Food,Bacillus cereus,3,0,3,0,3
2011,Ohio,Food,,2,0,2,0,2
2011,Texas,Food,,2,0,0,0,0
2011,Texas,Food,,3,0,3,0,3
2011,Texas,Food,,2,0,0,0,0
2011,Texas,Food,,2,0,2,0,2
2011,Michigan,Food,Norovirus Genogroup II,14,0,14,0,14
2011,Illinois,Food,Salmonella enterica,36,3,34,0,36
2011,Illinois,Food,,11,0,11,0,11
2011,Illinois,Food,Norovirus Genogroup I,13,0,13,0,13
2011,Pennsylvania,Food,Campylobacter jejuni,3,0,3,0,3
2011,Florida,Food,Norovirus,7,0,7,0,7
